feature,importance
MACD_signal,0.07063367
EMA_long,0.06205877
High,0.0603463
Open,0.059980955
BB_upper,0.05983048
Low,0.059588354
MACD_hist,0.059222516
wavelet_cA,0.05885756
ADX,0.05846585
EMA_short,0.058319643
Volume,0.058153052
Close,0.05736471
BB_lower,0.057342764
MACD,0.055924255
wavelet_cD,0.05591192
BB_middle,0.054808833
RSI,0.05319033
